line_id,source_substation_id,target_substation_id,capacity_mw,voltage_kv
5001,1003,1007,390,345
5002,1007,1016,302,500
5003,1005,1009,171,230
5004,1018,1009,482,500
5005,1019,1013,285,230
5006,1005,1017,352,138
5007,1002,1004,178,230
5008,1014,1020,132,500
5009,1013,1020,339,345
5010,1018,1001,448,138
5011,1018,1009,493,345
5012,1004,1010,322,230
5013,1015,1001,469,345
5014,1017,1006,359,138
5015,1010,1017,411,230
5016,1005,1012,490,230
5017,1018,1017,100,345
5018,1016,1001,157,345
5019,1010,1008,129,230
5020,1019,1003,143,500
5021,1003,1018,492,230
5022,1005,1016,381,230
5023,1009,1017,410,500
5024,1007,1018,486,230
5025,1010,1013,443,345
5026,1015,1017,331,138
5027,1008,1003,273,138
5028,1019,1018,217,230
5029,1001,1003,462,138
5030,1008,1003,116,345
5031,1003,1017,221,345
5032,1016,1007,376,230
5033,1019,1016,224,500
5034,1014,1007,148,138
5999,9999,1001,150,138
